城市,房名,类型,地址,销售状态,特色,价格(元/O)
广州,星河・东悦湾,三居/四居―89~128平米,南沙市南大道135号,在售,品牌地产/普通住宅,31000
广州,新世界・凯粤湾,三居/四居―92~122平米,荔湾广州西翼cbd・白鹅潭商圈・地铁5&6&11号线交汇・西关培正小学旁,在售,教育地产/地铁沿线/品牌地产/普通住宅,52500
广州,亚运城,二居/三居/四居/五居―88~250平米,番禺康体路亚运城(地铁海傍站a出口),在售,"广州市铁一中学
∨/教育地产/地铁沿线/洋房/普通住宅",28000
广州,中国铁建海语熙岸,三居/四居―89~143平米,南沙凤凰大道与黄阁南路交汇处,在售,品牌地产/购物中心/普通住宅,29000
广州,大壮名城,二居/三居/四居/五居―72~256平米,黄埔开泰大道与科丰路交汇处(万达旁),在售,教育地产/地铁沿线/国际化社区/普通住宅,55000
广州,保利翔龙天汇,二居/三居/四居―94~127平米,黄埔广汕公路黄陂地铁站b出口(第一一七中学旁),在售,特色别墅/品牌地产/住宅底商/普通住宅,47200
广州,珠江花城,三居/四居/五居―77~140平米,天河岐山路183号,在售,花园洋房/国际化社区/品牌地产/普通住宅,65000
广州,品实・云湖花城,二居/三居/四居―70~141平米,白云地铁8号线亭岗地铁站c口处,在售,低密居所/地铁沿线/低总价/普通住宅,36888
广州,中海观桓,三居/四居―89~126平米,海珠广州大道南环岛路中海观桓销售中心,在售,豪华居住区/国际化社区/品牌地产/普通住宅,78000
广州,中旅・天宸府,三居/四居―82~120平米,海珠海珠区昌岗中路100号,待售,配套商品房/地铁沿线/品牌地产/普通住宅,
广州,保利湖光悦色,四居―126~199平米,海珠国家湿地公园东南门旁,待售,叠拼/市场类商铺,
广州,中旅・名门府,二居/三居―80~101平米,花都广花路名门府中建七局项目部,待售,低总价/品牌地产/叠拼/普通住宅,23000
广州,公交珠实・花城云著,三居/四居/五居―69~111平米,白云22号线夏茅站旁(靠夏茅加油站),待售,低总价/品牌地产/普通住宅/综合体,
广州,富力南驰・富颐华庭,二居/三居/四居―77~140平米,黄埔广园快速与茅岗路交汇处(鱼珠地铁站旁),在售,品牌地产/普通住宅,50000
广州,华润置地金沙瑞府,四居―143平米,白云金沙洲浔峰山东路,待售,品牌地产/叠拼/普通住宅,
广州,佳大瑞园,三居/四居―93~129平米,黄埔开萝大道路北水西路东,在售,品牌地产/住宅底商/普通住宅,32000
广州,卓越招商・臻珑府,三居/四居―78~115平米,黄埔5号线庙头路站旁(在建),在售,国际化社区/品牌地产/住宅底商/普通住宅,41000
广州,城投珠江・天河壹品,二居/三居/四居―73~126平米,天河健明四路和天坤三路交汇处,待售,地铁沿线/国际化社区/品牌地产/普通住宅,
广州,华润置地・公园上城,三居/四居―75~128平米,增城新塘立交,在售,品牌地产/普通住宅,27000
广州,深业颐泽府,四居―103~142平米,南沙横沥岛大元路以北、星灿路以西,在售,地铁沿线/国际化社区/品牌地产/普通住宅,36000
广州,新世界・凯粤湾,三居/四居―92~122平米,荔湾广州西翼cbd・白鹅潭商圈・地铁5&6&11号线交汇・西关培正小学旁,在售,教育地产/地铁沿线/品牌地产/普通住宅,52500
广州,奥园恒基学苑壹号,三居/四居/五居―105~220平米,番禺国际科技创新城,在售,配套商品房/品牌地产/其他/普通住宅,50000
广州,星河・畔月湾,二居/三居―80~126平米,南沙南沙自贸区r26;・灵新大道r26;地铁18号线旁,待售,普通住宅/综合体,
广州,新世界广汇尊府,,增城广汇新世界金融中心,在售,地铁沿线/国际化社区/品牌地产/综合体,36000
广州,力迅・西关雅筑,三居/四居―89~135平米,荔湾中山七・陈家祠・双地铁,在售,地铁沿线/国际化社区/品牌地产/普通住宅,75000
广州,番禺敏捷广场,,番禺广州番禺敏捷广场a塔营销中心(番禺大道与汉溪大道交界处),在售,品牌地产/标准写字楼/综合体,36000
广州,阳光城・丽景湾,三居/四居―85~118平米,南沙环市大道中与进港大道交汇处,在售,标准写字楼/普通住宅,26000
广州,新希望|金洲府,二居/三居―83~111平米,"佛山南海区里水镇草场大道南6号,永润广场斜对面",在售,低总价/品牌地产/住宅底商/普通住宅,22000
广州,海语天悦湾,二居/三居―80~140平米,南沙国际金融岛,待售,住宅底商/普通住宅,
广州,中铁诺德阅泷Ⅱ云臻,二居/三居/四居―80~129平米,白云广花一级公路430号,在售,地铁沿线/品牌地产/洋房/普通住宅,27000
广州,南沙・十里方圆,二居/三居/四居―78~128平米,南沙黄阁镇庐前山南路与黄阁大道交汇处,在售,低总价/品牌地产/普通住宅/综合体,28000
广州,星樾TOD,三居/四居―120~141平米,黄埔萝岗开创大道(6号线香雪地铁站旁),在售,地铁沿线/品牌地产/大平层/普通住宅,40000
广州,合生中央城,二居/三居/四居―85~142平米,黄埔开源大道22号,在售,教育地产/宜居生态地产/品牌地产/普通住宅,37000
广州,时代印记,三居―88~136平米,黄埔九龙大道红卫地铁a出口时代印记营销中心,在售,景观居所/地铁沿线/普通住宅,24000
广州,兰亭盛荟,,天河黄埔大道桃园西路明镜路交叉口(五号线东圃站b出口东行500米),在售,地铁沿线/国际化社区/购物中心/普通住宅,31000
广州,招商保利・海珠天B,三居/四居―137~262平米,海珠新港东路招商保利・海珠天B项目部,在售,品牌地产/商业/普通住宅,90000
广州,保利阅云台,三居/四居―97~108平米,白云三元里大道以北(智慧少年宫旁),在售,品牌地产/住宅底商/普通住宅,50000
广州,富力新城,二居/三居/四居―73~120平米,黄埔东鹏大道与宏明路交汇处,在售,低总价/品牌地产/住宅底商/普通住宅,33000
广州,湾区・金融城,二居/三居/四居―70~137平米,南沙明珠湾国际金融岛,在售,地铁沿线/品牌地产/普通住宅,36000
广州,时代倾城(中新),二居/三居―75~130平米,增城中新镇新墩路168号,在售,低总价/品牌地产/普通住宅,22000
广州,美的云筑,二居/三居/四居―83~116平米,南沙广州市南沙区鱼窝头体育文化广场对面,在售,品牌地产/住宅底商/普通住宅,19000
广州,铂h明珠ONE,三居/四居―79~110平米,南沙横沥国际金融岛地铁18号线横沥地铁站口直线距离约500米,在售,小户型/低总价/普通住宅/综合体,35500
广州,越秀联投知识城・居山涧,,黄埔凤凰湖畔,待售,大平层/叠拼,
广州,旭辉曜h湾,三居―99~126平米,"南沙国际金融岛・iff会址旁(横沥大道与星灿路交界,临近18号横沥站)",在售,国际化社区/品牌地产/普通住宅/综合体,36000
广州,广州龙湖・揽境,四居―121~122平米,黄埔永顺大道南,在售,品牌地产/洋房/普通住宅,38000
广州,旭辉绿地铂云天境,三居/四居―75~114平米,"白云钟落潭地铁a口约900米,健康大道规划12路",在售,低密居所/地铁沿线/品牌地产/普通住宅,26000
广州,中奥方直明日公元,二居/三居―75~96平米,增城朱村大道西地铁21号线凤岗站c出口旁,在售,地铁沿线/品牌地产/住宅底商/普通住宅,18500
广州,星汇城TOD,二居/三居/四居―69~126平米,黄埔知识城镇龙地铁站c出口,在售,教育地产/地铁沿线/小户型/普通住宅,27000
广州,越秀・和樾府,三居/四居―105~140平米,番禺番禺大道与汉溪大道交汇处西侧,在售,豪华居住区/地铁沿线/品牌地产/普通住宅,62000
广州,万科金域曦府,三居/四居―94~135平米,荔湾花地大道309号(地铁1号线花地湾旁),在售,国际化社区/品牌地产/购物中心/普通住宅,55000
广州,星瀚TOD,一居/二居/三居/四居―73~112平米,番禺地铁22号线陈头岗站旁,在售,地铁沿线/品牌地产/普通住宅,37500
广州,华标・峰湖御境,五居/五居以上―360~690平米,黄埔大观路北黄陂地铁站旁,在售,地铁沿线/品牌地产/联排/独栋,52000
广州,保利越秀・天启,二居/三居―87~106平米,荔湾白鹤洞街道沙涌地铁站旁,在售,品牌地产/商业/普通住宅,53000
广州,敏捷绿湖首府,二居/三居/四居―71~127平米,增城新城大道旁,在售,花园洋房/普通住宅,15800
广州,越秀・大学・星汇城,,[undefined]番禺广州国际创新城・大学城・南大干线・暨南大学北侧,待售,商业/普通住宅,
广州,中海观府,三居/四居―86~164平米,海珠・海珠湾・南洲地铁站旁,在售,地铁沿线/品牌地产/住宅底商/普通住宅,70000
广州,越秀・星寰TOD,二居/三居/四居―90~115平米,番禺汉溪大道7号线谢村站a口旁(约300米),在售,地铁沿线/国际化社区/品牌地产/普通住宅,40000
广州,越秀・星汇文玺,二居/三居/四居―76~117平米,番禺国际创新城・番禺南大干线・越秀星汇文玺营销中心,在售,国际化社区/品牌地产/住宅底商/普通住宅,44000
广州,珠江铂世湾,三居/四居―105~125平米,番禺华南新城高尔夫东侧,在售,低密居所/地铁沿线/国际化社区/普通住宅,48000
广州,碧桂园云顶,三居/五居―90~205平米,增城广园快速路新塘出口凤凰城五环岛(西行800米),在售,低密居所/品牌地产/住宅底商/普通住宅,26000
